type,sex,version,age,60m,100m,200m,400m,800m,1000m,1500m,1 mile,3000m,5000m,10000m
track,male,2023,5,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,6,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,7,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,8,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,9,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,10,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,11,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,12,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,13,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,14,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,15,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,16,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,17,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,18,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,19,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,20,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,21,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,22,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,23,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,24,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,25,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,26,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,27,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,28,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,29,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,30,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,31,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,32,6.34,9.58,19.22,43.03,100.91,131.96,206,223.26,440.67,755.36,1571
track,male,2023,33,6.34,9.58,19.35,43.24,100.91,131.96,206.55,224.56,440.67,755.36,1571
track,male,2023,34,6.34,9.58,19.47,43.52,100.91,131.96,207.84,225.93,440.67,755.36,1575.25
track,male,2023,35,6.34,9.58,19.59,43.8,101.26,131.99,209.15,227.31,440.97,755.36,1587.34
track,male,2023,36,6.37,9.64,19.72,44.08,102.06,132.98,210.5,228.71,444.13,755.36,1599.47
track,male,2023,37,6.4,9.71,19.85,44.36,102.86,133.98,211.86,230.14,447.33,759.69,1611.77
track,male,2023,38,6.43,9.77,19.97,44.65,103.68,134.98,213.25,231.63,450.58,765.85,1624.27
track,male,2023,39,6.46,9.84,20.1,44.94,104.5,136.01,214.67,233.13,453.92,772.19,1636.96
track,male,2023,40,6.49,9.9,20.23,45.23,105.33,137.04,216.11,234.65,457.31,778.64,1649.69
track,male,2023,41,6.52,9.97,20.36,45.52,106.17,138.09,217.57,236.24,460.75,785.11,1662.6
track,male,2023,42,6.55,10.04,20.5,45.82,107.02,139.15,219.07,237.85,464.3,791.78,1675.73
track,male,2023,43,6.58,10.11,20.63,46.12,107.87,140.21,220.6,239.48,467.85,798.47,1689.06
track,male,2023,44,6.62,10.18,20.77,46.42,108.75,141.31,222.17,241.16,471.55,805.28,1702.42
track,male,2023,45,6.65,10.25,20.9,46.73,109.62,142.41,223.76,242.87,475.26,812.3,1716
track,male,2023,46,6.68,10.32,21.04,47.03,110.5,143.52,225.38,244.63,479.04,819.35,1729.79
track,male,2023,47,6.72,10.39,21.18,47.34,111.39,144.66,227.04,246.41,482.92,826.52,1743.81
track,male,2023,48,6.75,10.46,21.31,47.66,112.29,145.79,228.73,248.25,486.87,833.82,1757.86
track,male,2023,49,6.79,10.53,21.46,47.97,113.2,146.96,230.45,250.14,490.94,841.15,1772.13
track,male,2023,50,6.83,10.6,21.6,48.29,114.12,148.13,232.21,252.06,495.07,848.71,1786.64
